id,name
1011001,쌀밥
1012001,기타잡곡밥
1012002,콩밥
1012003,보리밥
1012004,돌솥밥
1012005,현미밥
1012006,흑미밥
1013001,감자밥
1013002,곤드레밥
1014001,김치볶음밥
1014002,주먹밥
1014003,볶음밥
1014004,일반비빔밥
1014005,전주비빔밥
1014006,삼선볶음밥
1014007,새우볶음밥
1014008,알밥
1014009,산채비빔밥
1014010,오므라이스
1014011,육회비빔밥
1014012,해물볶음밥
1014013,열무비빔밥
1015002,불고기덮밥
1015003,소고기국밥
1015004,송이덮밥
1015005,오징어덮밥
1015006,자장밥
1015007,잡채밥
1015008,잡탕밥
1015009,장어덮밥
1015010,제육덮밥
1015011,짬뽕밥
1015012,순대국밥
1015013,카레라이스
1015014,전주콩나물국밥
1015015,해물덮밥
1015016,회덮밥
1015017,소머리국밥
1015018,돼지국밥
1015019,하이라이스
1016001,김치김밥
1016002,농어초밥
1016003,문어초밥
1016004,새우초밥
1016005,새우튀김롤
1016006,샐러드김밥
1016007,광어초밥
1016008,소고기김밥
1016009,갈비삼각김밥
1016010,연어롤
1016011,연어초밥
1016012,유부초밥
1016013,장어초밥
1016014,참치김밥
1016015,참치마요삼각김밥
1016017,치즈김밥
1016018,캘리포니아롤
1016019,한치초밥
1016020,일반김밥
2011001,간자장
2011002,굴짬뽕
2011003,기스면
2011004,김치라면
2011005,김치우동
2011006,김치말이국수
2011007,닭칼국수
2011008,들깨칼국수
2011009,떡라면
2011010,라면
2011011,막국수
2011012,메밀국수
2011013,물냉면
2011014,비빔국수
2011015,비빔냉면
2011016,삼선우동
2011017,삼선자장면
2011018,삼선짬뽕
2011019,수제비
2011020,쌀국수
2011021,열무김치국수
2011023,오일소스스파게티
2011024,일식우동
2011025,볶음우동
2011027,자장면
2011028,잔치국수
2011029,짬뽕
2011030,짬뽕라면
2011031,쫄면
2011032,치즈라면
2011033,콩국수
2011034,크림소스스파게티
2011035,토마토소스스파게티
2011036,해물칼국수
2011037,회냉면
2011038,떡국
2011039,떡만둣국
2011040,짜장라면
2012001,고기만두
2012002,군만두
2012003,김치만두
2012004,물만두
2012005,만둣국
3011001,게살죽
3011002,깨죽
3011003,닭죽
3011004,소고기버섯죽
3011005,어죽
3011006,잣죽
3011007,전복죽
